meallion-livekit  | 2026-03-09T12:14:33.215Z	INFO	livekit	server/main.go:208	starting in development mode
meallion-livekit  | 2026-03-09T12:14:33.217Z	INFO	livekit	redis/redis.go:142	connecting to redis	{"simple": true, "addr": "redis:6379"}
meallion-livekit  | 2026-03-09T12:14:33.274Z	INFO	livekit	service/server.go:258	starting LiveKit server	{"portHttp": 7880, "nodeID": "ND_ALMuejYXBgjz", "nodeIP": "172.18.0.3", "version": "1.8.3", "rtc.portTCP": 7881, "rtc.portICERange": [50000, 60000]}
meallion-livekit  | 2026-03-09T12:14:41.420Z	INFO	livekit.agents	service/agentservice.go:275	worker registered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_UWdmCAGpTprN"}
meallion-livekit  | 2026-03-09T12:16:21.141Z	INFO	livekit.agents	service/agentservice.go:310	last worker deregistered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_UWdmCAGpTprN"}
meallion-livekit  | 2026-03-09T12:16:21.142Z	INFO	livekit.agents	agent/worker.go:450	closing worker	{"workerID": "AW_UWdmCAGpTprN", "agentName": "", "jobType": "JT_ROOM", "workerID": "AW_UWdmCAGpTprN", "jobType": "JT_ROOM", "agentName": ""}
meallion-livekit  | 2026-03-09T12:16:25.801Z	INFO	livekit.agents	service/agentservice.go:275	worker registered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_hG25X3hXH7KC"}
meallion-livekit  | 2026-03-09T12:16:26.176Z	INFO	livekit.api	service/twirp.go:124	API RoomService.ListRooms	{"service": "RoomService", "method": "ListRooms", "room": [], "duration": "661.586µs", "status": "200"}
meallion-livekit  | 2026-03-09T12:17:23.033Z	INFO	livekit.agents	service/agentservice.go:310	last worker deregistered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_hG25X3hXH7KC"}
meallion-livekit  | 2026-03-09T12:17:23.033Z	INFO	livekit.agents	agent/worker.go:450	closing worker	{"workerID": "AW_hG25X3hXH7KC", "agentName": "", "jobType": "JT_ROOM", "workerID": "AW_hG25X3hXH7KC", "jobType": "JT_ROOM", "agentName": ""}
meallion-livekit  | 2026-03-09T12:17:27.275Z	INFO	livekit.agents	service/agentservice.go:275	worker registered	{"namespace": "", "jobType": "JT_ROOM", "agentName": "", "workerID": "AW_RshoX7XkbUa4"}
